"QID";"InformantID";"Signature";"Year";"CountryCollection";"Age";"Gender";"Nationality";"EthnicSelfID";"CountryID";"LanguageHome";"LanguageMother";"LanguageFather";"PrimarySchool";"SecondarySchool";"Qualifications";"Occupation";"QualiMother";"OccupMother";"QualiFather";"OccupFather";"QualiPartner";"OccupPartner";"YearsLivedOutside";"YearsLivedInside";"YearsLivedOtherEnglish";"Ratio";"CommentsTimeline";"MainVariety";"AdditionalVarieties";"YearsLivedInMainVariety";"RatioMainVariety";"Date";"gender_normalized";"primary_school_normalized";"secondary_school_normalized";"LanguageHome_normalized";"LanguageFather_normalized";"LanguageMother_normalized";"Qualifications_normalized";"QualiMother_normalized";"QualiFather_normalized";"QualiPartner_normalized";"highest_qualification"
"219";"DE16-019f17";"ND";"2016";"DE";"17";"f";"Germany";"";"Bavaria, Ingolstadt";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Diplom";"Diplom";"Diplom";"Diplom";"Qualifizierter Hauptschulabschluss";"Berufsausbildung";"ND";"14";"ND";"0.82";"0-2 Ingolstadt; 3-5 Singapore; 6-16 Ingolstadt; 17 Bamberg";"Germany";"";"14";"0.82";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Higher Education";"Higher Education";"Secondary Education";"Secondary Education"
"220";"DE16-020f25";"ND";"2016";"DE";"25";"f";"German";"";"Franconia";"German";"German";"German";"public";"public";"Bachelor";"Student";"Work training";"Nurse";"Work Training";"Sales & Energy Advisor";"";"";"ND";"25";"ND";"1.0";"0-21 Erlangen; 22-25 Bamberg";"Germany";"";"25";"1.0";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Work-Based Learning";"Work-Based Learning";"";"Higher Education"
"221";"DE16-021m19";"ND";"2016";"DE";"19";"m";"German";"";"Upper Franconia";"German";"German";"German";"public";"public";"High School Diploma";"Student";"";"";"";"";"";"";"ND";"19";"ND";"1.0";"0-19 Bad Staffelstein";"Germany";"";"19";"1.0";"";"Male";"State";"State";"German";"German";"German";"Secondary Education";"";"";"";"Secondary Education"
"222";"DE16-022f18";"ND";"2016";"DE";"18";"f";"German";"";"Germany";"German";"German";"German";"public";"public";"Bachelor";"Student";"";"";"";"";"";"";"ND";"18";"ND";"1.0";"0-18 Bamberg";"Germany";"";"18";"1.0";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"";"";"";"Higher Education"
"223";"DE16-023f19";"ND";"2016";"DE";"19";"f";"German";"";"Germany/ Upper Franconia";"German";"German";"German";"public";"public";"Bachelor";"Student";"Abiur";"Pharmatic";"Diplom";"Ingenieur";"Abitur";"Student";"ND";"19";"ND";"1.0";"0-19 Bad Staffelstein";"Germany";"";"19";"1.0";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Secondary Education";"Higher Education";"Secondary Education";"Higher Education"
"224";"DE16-024f20";"ND";"2016";"DE";"20";"f";"German";"";"Germany/ Upper Franconia";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Mitlere Reife";"Office Administrator";"A-level";"Gardener";"";"";"ND";"20";"ND";"1.0";"0-19 Effeltrich/Erlangen; 20 Bamberg";"Germany";"";"20";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"225";"DE16-025f20";"ND";"2016";"DE";"20";"f";"German";"ev.";"";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Schooling";"Seamstress";"Fachabitur";"Surveyer";"";"";"ND";"18";"ND";"0.9";"0-15 Grebendorf, Germany; 16-17  Norton, KS, USA; 18-19 Grebendorf, Germany; 20 Bamberg, Germany";"Germany";"";"18";"0.9";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"226";"DE16-026f19";"ND";"2016";"DE";"19";"f";"German";"Caucasian";"Germany";"German";"Polish/German";"German";"public";"public";"High School Diploma";"";"";"";"";"";"";"";"ND";"19";"ND";"1.0";"0-19 Bamberg, Germany";"Germany";"";"19";"1.0";"";"Female";"State";"State";"German";"German";"Polish, German";"Secondary Education";"";"";"";"Secondary Education"
"227";"DE16-027f20";"ND";"2016";"DE";"20";"f";"Korean";"Korean";"South Korea";"Korean";"Korean";"Korean";"public";"public";"Bachelor";"Student";"MA";"Math teacher";"PhD";"Government Official";"";"";"ND";"1";"ND";"0.05";"0-19 Daegeon, South Korea; 20 Bamberg";"South Korea";"";"19";"0.95";"";"Female";"State";"State";"Korean";"Korean";"Korean";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"228";"DE16-028f20";"ND";"2016";"DE";"20";"f";"German";"German";"Bavaria";"German";"German";"German";"public";"private";"Bachelor";"Student";"Realschule";"Photographer";"Realschule";"Hotel Manager";"";"";"ND";"19";"ND";"0.95";"0-18 Augsburg, 19 New Zealand/Australia; 20 Bamberg";"Germany";"";"19";"0.95";"";"Female";"State";"Private";"German";"German";"German";"Higher Education";"Secondary Education";"Secondary Education";"";"Higher Education"
"229";"DE16-029m19";"ND";"2016";"DE";"19";"m";"German";"German";"Germany";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Qualifizierender Hauptschulabschluss";"Secretary";"Abitur";"Teacher (MS)";"";"";"ND";"19";"ND";"1.0";"0-19 Germany";"Germany";"";"19";"1.0";"";"Male";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"230";"DE16-030f21";"ND";"2016";"DE";"21";"f";"";"";"Germany";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Realschule";"Verwaltungsangestellte";"Hauptschule";"Zimmerer";"";"";"ND";"18";"ND";"0.86";"0-14 Germany; 15-17 USA; 18-21 Bamberg";"Germany";"";"18";"0.86";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"231";"DE16-031f20";"ND";"2016";"DE";"20";"f";"German";"";"Franconia";"German";"German";"German";"public";"public";"Lehramt";"Student";"";"Beamte Postbank";"Ingeneur";"Berufsschullehrer Kfz";"";"";"ND";"20";"ND";"1.0";"0-4 Nürnberg; 5-19 Auerbach i. d. Oberpfalz; 20 Bamberg";"Germany";"";"20";"1.0";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"";"Professional/Vocational";"";"Higher Education"
"232";"DE16-032NANA";"ND";"2016";"DE";"";"";"";"";"";"German";"German";"German";"public";"public";"Bachelor";"";"Abitur";"";"Volksschule";"";"BA";"";"ND";"";"ND";"";"";"Germany";"";"";"";"";"";"State";"State";"German";"German";"German";"Higher Education";"Secondary Education";"Secondary Education";"Higher Education";"Higher Education"
"233";"DE16-033f21";"ND";"2016";"DE";"21";"f";"German";"";"Germay (Bamberg)";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Hauptschulabschluss";"Verkäuferin";"Mittlere Reife";"Heilerziehungspflegerhelfer";"";"";"ND";"20";"ND";"0.95";"0-18 Bamberg; 19  Wexford, PA, USA; 20-21 Bamberg";"Germany";"";"20";"0.95";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"234";"DE16-034f20";"ND";"2016";"DE";"20";"f";"German";"German";"USA";"German";"German";"German";"public";"public";"Bachelor";"Student; Waitress";"Abitur";"Secretary";"Abitur";"Stellv. Regionalleiter Sparkasse";"";"";"ND";"18";"ND";"0.9";"0-15 Crailsheim; 16 Idaho Falls, Idaho USA; 17-18 Crailsheim; 19 Santiago de Chile, Chile; 20 Bamberg";"Germany";"";"18";"0.9";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Secondary Education";"Secondary Education";"";"Higher Education"
"235";"DE16-035f21";"ND";"2016";"DE";"21";"f";"German";"";"Franconia";"German";"German";"German";"public";"public";"Bachelor";"";"Hauptschulabschluss";"Photographer";"Hauptschule";"Train driver";"Hauptschule";"Mechanic";"ND";"21";"ND";"1.0";"0-21 Lichtenfels";"Germany";"";"21";"1.0";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Secondary Education";"Secondary Education";"Secondary Education";"Higher Education"
"236";"DE16-036m19";"ND";"2016";"DE";"19";"m";"German";"";"Germany and US";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Abitur";"Beamter";"Abitur";"Teacher";"";"";"ND";"18";"ND";"0.95";"0-2 Kaulsdorf; 3-16 Wurzbad; 17 America; 18-19 Wurzbad/Bamberg";"Germany";"";"18";"0.95";"";"Male";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"237";"DE16-037m19";"ND";"2016";"DE";"19";"m";"German";"";"";"German";"German";"German";"public";"public";"High School Diploma";"Staatsexamen";"";"";"";"";"";"";"ND";"19";"ND";"1.0";"0-18 Bayreuth; 19 Bamberg";"Germany";"";"19";"1.0";"";"Male";"State";"State";"German";"German";"German";"Secondary Education";"";"";"";"Secondary Education"
"238";"DE16-038f19";"ND";"2016";"DE";"19";"f";"German";"";"Iceland";"German";"German";"German";"public";"public";"Staatsexamen";"Student";"Bankkauffrau";"Fitnesskauffrau";"?";"Polizist";"";"";"ND";"18";"ND";"0.95";"0-17 Rudolstadt; 18 Iceland; 19 Bamberg";"Germany";"";"18";"0.95";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Professional/Vocational";"No/Other Qualification";"";"Higher Education"
"239";"DE16-039f21";"ND";"2016";"DE";"21";"f";"German";"";"";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Facharbeiter";"Animal Keeper (Tierpfleger)";"Facharbeiter";"Plumber (Heizungsinstallateur)";"";"";"ND";"20";"ND";"0.95";"0-8 Rauschengesees; 9-11 Thimmendorf; 12-16 Ruppersdorf; 17 Michigan, US; 18-20 Ruppersdorf; 21 Bamberg";"Germany";"";"20";"0.95";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Work-Based Learning";"Work-Based Learning";"";"Secondary Education"
"240";"DE16-040f20";"ND";"2016";"DE";"20";"f";"German";"";"England, Allgäu";"German";"German";"German";"public";"public";"Bachelor";"Student";"Staatsexamen";"Heilpraktikerin";"Diplom";"Geschäftsführer";"";"";"ND";"20";"ND";"1.0";"0-3 Kaufbeuren-Neugablonz; 4-18 Aitrang; 19 Mittweida; 20 Bamberg";"Germany";"";"20";"1.0";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"241";"DE16-041f20";"ND";"2016";"DE";"20";"f";"German";"";"Germany, NRW";"German/Persian";"German";"Persian";"public";"public";"Bachelor";"Student";"Bachelor";"Therapist";"Bachelor";"Translator";"";"";"ND";"19";"ND";"0.95";"0-18 Kleve, Germany; 19 Australia, Greece; 20 Bamberg";"Germany";"";"19";"0.95";"";"Female";"State";"State";"German, Persian";"Persian";"German";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"242";"DE16-042f28";"ND";"2016";"DE";"28";"f";"Brazilian/German";"Caucasian";"Brazil";"Portuguese";"Portuguese";"Portuguese/German";"private";"nA";"Bachelor";"Salesperson";"BA";"Architect";"BA";"";"";"";"ND";"";"ND";"";"";"Brazil";"Germany";"ND";"";"";"Female";"Private";"";"Portuguese";"Portuguese, German";"Portuguese";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"243";"DE16-043f19";"ND";"2016";"DE";"19";"f";"German";"European";"";"German";"German";"German";"public";"public";"High School Diploma";"Student";"";"Book Store Secretary";"Dipl. Ing.";"Dipl. Ing. for IT";"Meister Elektrotechnik";"High Voltage Electrician";"ND";"18";"ND";"0.95";"0-5 Ortwang; 6-18 Sonthofen; 19 South Africa/Bamberg";"Germany";"";"18";"0.95";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"";"Higher Education";"Professional/Vocational";"Secondary Education"
"244";"DE16-044f19";"ND";"2016";"DE";"19";"f";"German";"European";"Allgäu";"German";"German";"German";"public";"public";"High School Diploma";"Student";"";"Filialleiterin";"Uni-Abschluss";"Vetenary";"Abitur";"Student";"ND";"19";"ND";"1.0";"0-19 Untrasried";"Germany";"";"19";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"";"Higher Education";"Secondary Education";"Secondary Education"
"245";"DE16-045f21";"ND";"2016";"DE";"21";"f";"German";"Catholic";"Germany, Bavaria";"German";"German";"German";"public";"public";"Work training (Foreign Language Correspondent for English and Spanish)";"Student";"Abitur + Work Training";"Secretary";"Master Informatik";"Consultant";"";"";"ND";"19";"ND";"0.9";"0-18 Lichtenfels, Germany; 19 Greece; 20 Lichtenfels/Valencia, Spain; 21 Bamberg";"Germany";"";"19";"0.9";"";"Female";"State";"State";"German";"German";"German";"Work-Based Learning";"Work-Based Learning";"Higher Education";"";"Work-Based Learning"
"246";"DE16-046m19";"ND";"2016";"DE";"19";"m";"German";"Agnostic";"Oberfranken";"mostly German / some English";"German";"Arabic, German";"public";"public";"High School Diploma";"Student";"Diplom Soz. Päd.";"Director-Elder-Department";"Master in Engineering";"Engineer";"Abitur";"Studying";"ND";"19";"ND";"1.0";"0-18 Hof, Oberfranken; 19 Bamberg";"Germany";"";"19";"1.0";"";"Male";"State";"State";"German, English";"Arabic, German";"German";"Secondary Education";"Higher Education";"Higher Education";"Secondary Education";"Secondary Education"
"247";"DE16-047m19";"ND";"2016";"DE";"19";"m";"German";"Atheist";"Oberfranken";"German";"German";"German";"public";"public";"High School Diploma";"Studium";"Hauptschule";"Diakonie";"Realschule";"Policeman";"";"";"ND";"19";"ND";"1.0";"0-19 Rehau; (19 teilw. Bamberg)";"Germany";"";"19";"1.0";"";"Male";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"248";"DE16-048m33";"ND";"2016";"DE";"33";"m";"German";"";"Franconia";"German/Dutch";"Dutch";"German";"public";"public";"Bachelor";"Sozpäd";"Realschule";"Schreibkraft";"Studium";"Siemens";"Bachelor";"Sozpäd";"ND";"32";"ND";"0.97";"0-16 Erlangen; 17 Forfolk, VA, USA; 18-26 Erlangen; 27-33 Nürnberg";"Germany";"";"32";"0.97";"";"Male";"State";"State";"German, Dutch";"German";"Dutch";"Higher Education";"Secondary Education";"Higher Education";"Higher Education";"Higher Education"
"249";"DE16-049f19";"ND";"2016";"DE";"19";"f";"German";"";"Upperpalatinate";"German";"German";"German";"public";"public";"Bachelor";"Student";"Completed Work Training as Bank Assistant";"Housewife";"Doctors Degree";"Dentist";"Abitur";"Student";"ND";"18";"ND";"0.95";"0-14 Weiden; 15 Cedar Rapids, Nebraska, USA; 16-18 Weiden; 19 Bamberg";"Germany";"";"18";"0.95";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Work-Based Learning";"Higher Education";"Secondary Education";"Higher Education"
"250";"DE16-050f22";"ND";"2016";"DE";"22";"f";"German";"";"Bavaria";"mostly German / some English";"German";"German";"public";"public";"Lehramt";"Student";"Staatsexamen";"Teacher";"Dr.";"Dentist";"";"Model/Actress";"ND";"22";"ND";"1.0";"0-22 Coburg";"Germany";"";"22";"1.0";"";"Female";"State";"State";"German, English";"German";"German";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"251";"DE16-051f22";"ND";"2016";"DE";"22";"f";"German";"";"Bavaria";"German";"German";"German";"public";"public";"High School Diploma";"Student";"High School";"Call Centre";"High School";"Season Worker";"";"";"ND";"22";"ND";"1.0";"0-22 Coburg";"Germany";"";"22";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"252";"DE16-052f21";"ND";"2016";"DE";"21";"f";"German";"";"Germany (Bamberg)";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Degree (Bachelor)";"Couple Counselor";"Bachelor Degree";"Management Consultant";"";"";"ND";"20";"ND";"0.95";"0-5 Gütersloh, Nordrhein-Westfalen; 6 Duisburg; 7-17 Bamberg; 18 Peachtree City, GA, USA; 19 Hamburg; 20-21 Bamberg";"Germany";"";"20";"0.95";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Higher Education";"Higher Education";"";"Secondary Education"
"253";"DE16-053f20";"ND";"2016";"DE";"20";"f";"German";"";"Oberbayern";"German/Bayrisch";"German";"German";"public";"public";"Bachelor";"Hilfskraft/Uni Bamberg, Germanistik";"Realschule";"";"Hauptschule";"";"Bachelor";"";"ND";"20";"ND";"1.0";"0-17 Bayern; 18-20 Bamberg";"Germany";"";"20";"1.0";"";"Female";"State";"State";"German, Bayrisch";"German";"German";"Higher Education";"Secondary Education";"Secondary Education";"Higher Education";"Higher Education"
"254";"DE16-054f21";"ND";"2016";"DE";"21";"f";"German";"";"Germany";"Russian";"Russian";"Russian";"public";"public";"Bachelor";"Bachelors study";"Work Training (Ausbildung)";"works in a nursing home";"Work Training (Ausbildung)";"Worker in a Company";"";"";"ND";"18";"ND";"0.86";"0-2 Ukraine; 3-15 Germany; 16 USA; 17-21 Germany";"Germany";"";"18";"0.86";"";"Female";"State";"State";"Russian";"Russian";"Russian";"Higher Education";"Work-Based Learning";"Work-Based Learning";"";"Higher Education"
"255";"DE16-055f20";"ND";"2016";"DE";"20";"f";"German";"";"Bavaria";"German";"";"";"public";"public";"Bachelor";"";"Hauptschule";"Bäckerin";"Realschule";"Bäckermeister";"";"";"ND";"20";"ND";"1.0";"0-20 Germany";"Germany";"";"20";"1.0";"";"Female";"State";"State";"German";"";"";"Higher Education";"Secondary Education";"Secondary Education";"";"Higher Education"
"256";"DE16-056m25";"ND";"2016";"DE";"25";"m";"German";"";"";"German";"German";"German";"public";"public";"Bachelor";"Student";"Mittlere Reife";"Finanzbeamtin";"Hauptschulabschluss";"Werkzeugmacher";"";"";"ND";"25";"ND";"1.0";"0-24 Coburg; 25 Bamberg";"Germany";"";"25";"1.0";"";"Male";"State";"State";"German";"German";"German";"Higher Education";"Secondary Education";"Secondary Education";"";"Higher Education"
"257";"DE16-057m18";"ND";"2016";"DE";"18";"m";"German";"";"";"mostly German / some English";"German";"";"public";"public";"High School Diploma";"Student";"Abitur";"Selbstständige Unternehmerin/Lehrerin";"";"";"";"";"ND";"18";"ND";"1.0";"0-18 Nürnberg";"Germany";"";"18";"1.0";"";"Male";"State";"State";"German, English";"";"German";"Secondary Education";"Secondary Education";"";"";"Secondary Education"
"258";"DE16-058f20";"ND";"2016";"DE";"20";"f";"German";"German";"Schwaben";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Abitur/Ausbildung";"Logopädin";"Abitur/Ausbildung";"Bankkaufmann";"";"";"ND";"20";"ND";"1.0";"0-20 Heilbronn; 21 Bamberg";"Germany";"";"20";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Work-Based Learning";"Work-Based Learning";"";"Secondary Education"
"259";"DE16-059f17";"ND";"2016";"DE";"17";"f";"German";"German";"Schwaben";"German";"German";"German";"public";"private";"High School Diploma";"Student";"2 Ausbildungen";"Masseurin";"Abitur";"Dipl. Ingeneur";"";"";"ND";"17";"ND";"1.0";"0-17 Gundelfingen a.d. Donau; (17 Bamberg)";"Germany";"";"17";"1.0";"";"Female";"State";"Private";"German";"German";"German";"Secondary Education";"Work-Based Learning";"Secondary Education";"";"Secondary Education"
"260";"DE16-060m22";"ND";"2016";"DE";"22";"m";"German";"";"France";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Bachelor";"Social Worker";"Bachelor";"Engineer";"";"";"ND";"12";"ND";"0.55";"0-5 Marseille, France; 6-17 Germany; 18-22 Vancouver, Canada";"Germany";"France/Canada";"12";"0.55";"";"Male";"State";"State";"German";"German";"German";"Secondary Education";"Higher Education";"Higher Education";"";"Secondary Education"
"261";"DE16-061f20";"ND";"2016";"DE";"20";"f";"German";"German";"Franconia";"German";"German";"German";"public";"private";"High School Diploma";"Student, Waitress";"Diplom FH";"Private Tutoring";"Work Training";"Sound Engineer";"achelor";"Internship Electrcal Engineering";"ND";"20";"ND";"1.0";"0-18 Hirschaid; 19 Erlangen; 20 Hirschaid";"Germany";"";"20";"1.0";"";"Female";"State";"Private";"German";"German";"German";"Secondary Education";"Higher Education";"Work-Based Learning";"Higher Education";"Secondary Education"
"262";"DE16-062f19";"ND";"2016";"DE";"19";"f";"German";"German";"Germany";"German";"German";"German";"public";"public";"High School Diploma";"University Student";"Diplom";"Mathematician";"Diplom";"Mathematician";"";"";"ND";"18";"ND";"0.95";"0-14 Munich; 15 Dallas, Texas, USA; 16-19 Munich";"Germany";"";"18";"0.95";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Higher Education";"Higher Education";"";"Secondary Education"
"263";"DE16-063f20";"ND";"2016";"DE";"20";"f";"German";"";"";"German";"";"";"public";"public";"Bachelor";"Student";"Abitur";"Nurse";"Abitur";"";"";"";"ND";"20";"ND";"1.0";"0-20 Germany";"Germany";"";"20";"1.0";"";"Female";"State";"State";"German";"";"";"Higher Education";"Secondary Education";"Secondary Education";"";"Higher Education"
"264";"DE16-064f18";"ND";"2016";"DE";"18";"f";"German";"";"Germany";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Diplom";"";"Diplom";"";"";"";"ND";"18";"ND";"1.0";"0-2 Gemünden; 3-17 Burgsinn; 18 Bamberg";"Germany";"";"18";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Higher Education";"Higher Education";"";"Secondary Education"
"265";"DE16-065f19";"ND";"2016";"DE";"19";"f";"German";"German";"(Lower) Franconia";"German";"German";"German";"public";"public";"High School Diploma";"Student";"University Degree";"Mother";"University Degree";"Archaeologist";"Abitur";"Student";"ND";"19";"ND";"1.0";"0-2 Halle, Saale; 3-19 Schwebheim, Bavaria";"Germany";"";"19";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Higher Education";"Higher Education";"Secondary Education";"Secondary Education"
"266";"DE16-066f19";"ND";"2016";"DE";"19";"f";"German";"?";"London";"German";"German";"German";"public";"public";"Bachelor (, Cambridge Business Diploma, IELTS 8.5)";"Student";"Realschulabschluss";"Make-up Artist";"Dr.'s Degree";"Pharmacist";"";"";"ND";"18";"ND";"0.95";"0-16 Tirschenreuth; 17 Nürnberg; 18 London; 19 Bamberg";"Germany";"";"18";"0.95";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Secondary Education";"Higher Education";"";"Higher Education"
"267";"DE16-067f21";"ND";"2016";"DE";"21";"f";"Serbian";"Serbian";"Serbia";"Serbian";"Serbian";"Serbian";"public";"public";"Bachelor";"Student";"Vocational High School";"Shop Assistant";"Vocational High School";"Machinery Worker";"";"";"ND";"1";"ND";"0.05";"0-19 Uzie, Serbia; 20-21 Belgrade, Serbia; 22 Bamberg, Germany";"Serbia";"";"20";"0.95";"";"Female";"State";"State";"Serbian";"Serbian";"Serbian";"Higher Education";"Professional/Vocational";"Professional/Vocational";"";"Higher Education"
"268";"DE16-068f19";"ND";"2016";"DE";"19";"f";"German";"";"Germany";"German";"";"";"public";"public";"High School Diploma";"";"Diplom";"";"Diplom";"Human Resource Manager";"";"";"ND";"18";"ND";"0.95";"0-2 Ebersberg; 3-17 Erlangen; 18 New Zealand; 19 Bamberg";"Germany";"";"18";"0.95";"";"Female";"State";"State";"German";"";"";"Secondary Education";"Higher Education";"Higher Education";"";"Secondary Education"
"269";"DE16-069f23";"ND";"2016";"DE";"23";"f";"German";"";"German/Hessen";"German";"German";"German";"public";"public";"Bachelor";"";"Realschule";"";"Realschule";"";"";"";"ND";"23";"ND";"1.0";"0-6 Darmstadt; 7-18 Groß-Umstadt; 19-21 Darmstadt; 22 Heidelberg; 23 Bamberg";"Germany";"";"23";"1.0";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Secondary Education";"Secondary Education";"";"Higher Education"
"270";"DE16-070m25";"ND";"2016";"DE";"25";"m";"German";"German";"Germany";"German";"German";"German";"public";"public";"High School Diploma";"Student";"";"";"";"";"";"";"ND";"25";"ND";"1.0";"0-21 Fuchsstadt; 22-24 Schweinfurt; 25 Bamberg";"Germany";"";"25";"1.0";"";"Male";"State";"State";"German";"German";"German";"Secondary Education";"";"";"";"Secondary Education"
"271";"DE16-071m23";"ND";"2016";"DE";"23";"m";"German";"Caucasian";"Upper-Franconia";"German";"German";"German";"public";"public";"Lehramt German/English";"Student, Journalist";"Accounting";"";"Accounting";"";"";"";"ND";"23";"ND";"1.0";"0-18 Redwitz an der Rodach; 19-22 Gießen; 23 Hochstadt am Main";"Germany";"";"23";"1.0";"";"Male";"State";"State";"German";"German";"German";"Higher Education";"Professional/Vocational";"Professional/Vocational";"";"Higher Education"
"272";"DE16-072m25";"ND";"2016";"DE";"25";"m";"German";"";"(Ober)bayern";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Hauptschulabschluss";"Housewife";"Hauptschulabschluss";"Policeman";"";"";"ND";"25";"ND";"1.0";"0-24 Oberbayern; 25 Bamberg";"Germany";"";"25";"1.0";"";"Male";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"273";"DE16-073f19";"ND";"2016";"DE";"19";"f";"German";"German";"Bavaria";"German";"German";"German";"public";"public";"High School Diploma";"Student/Primary Teacher";"Dipl. Ing. Architect";"Architect";"Environment Engineer";"Engineering";"";"";"ND";"19";"ND";"1.0";"0-18 Munich; 19 Bamberg";"Germany";"";"19";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Higher Education";"Professional/Vocational";"";"Secondary Education"
"274";"DE16-074f23";"ND";"2016";"DE";"23";"f";"German";"";"Bavaria, Kissing/Augsburg";"German";"German";"German";"public";"public";"Bachelor";"";"Mittlere Reife";"Housewife";"Hauptschulabschluss";"IT-Consultant";"";"";"ND";"22";"ND";"0.96";"0-20 Kissing; 21 Australia; 22 Augsburg; 23 Bamberg";"Germany";"";"22";"0.96";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Secondary Education";"Secondary Education";"";"Higher Education"
"275";"DE16-075f18";"ND";"2016";"DE";"18";"f";"German";"";"Argentina";"German";"German";"German";"public";"public";"High School Diploma";"Student (university)";"Abitur";"Anesthesiologist";"Final Degree Teaching Post";"Machine Operator";"Graduation Secondary School";"Carpenter";"ND";"16";"ND";"0.89";"0-1 Scheßlitz; 2-8 Stübig; 9-14 Bamberg; 15-16 Rosario/Casilda, Argentina; 17-18 Bamberg";"Germany";"";"16";"0.89";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Higher Education";"Secondary Education";"Secondary Education"
"276";"DE16-076f24";"ND";"2016";"DE";"24";"f";"German";"";"";"German";"German";"German";"public";"public";"Bachelor";"University Student";"Realschulabschluss";"Manager";"Abitur";"Public Servant";"";"";"ND";"23";"ND";"0.96";"0-9 Bernsfelden; 10-22 Harthausen; 23 USA; 24 Bamberg";"Germany";"";"23";"0.96";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Secondary Education";"Secondary Education";"";"Higher Education"
"277";"DE16-077f19";"ND";"2016";"DE";"19";"f";"German";"";"Germany/Bavaria";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Abitur";"Teacher";"PhD";"Doctor";"Abitur";"Student";"ND";"19";"ND";"1.0";"0-18 Bad Steben; 19 Bamberg";"Germany";"";"19";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Higher Education";"Secondary Education";"Secondary Education"
"278";"DE16-078m23";"ND";"2016";"DE";"23";"m";"German";"Caucasian";"Franconia (Upper)";"German";"German";"German";"public";"public";"Vocational Classes (Translator)";"Student";"";"";"";"";"";"";"ND";"23";"ND";"1.0";"0-23 Memmelsdorf";"Germany";"";"23";"1.0";"";"Male";"State";"State";"German";"German";"German";"Professional/Vocational";"";"";"";"Professional/Vocational"
