"QID";"InformantID";"Signature";"Year";"CountryCollection";"Age";"Gender";"Nationality";"EthnicSelfID";"CountryID";"LanguageHome";"LanguageMother";"LanguageFather";"PrimarySchool";"SecondarySchool";"Qualifications";"Occupation";"QualiMother";"OccupMother";"QualiFather";"OccupFather";"QualiPartner";"OccupPartner";"YearsLivedOutside";"YearsLivedInside";"YearsLivedOtherEnglish";"Ratio";"CommentsTimeline";"MainVariety";"AdditionalVarieties";"YearsLivedInMainVariety";"RatioMainVariety";"Date";"gender_normalized";"primary_school_normalized";"secondary_school_normalized";"LanguageHome_normalized";"LanguageFather_normalized";"LanguageMother_normalized";"Qualifications_normalized";"QualiMother_normalized";"QualiFather_normalized";"QualiPartner_normalized";"highest_qualification"
"4627";"SC16-206m21";"ND";"2016";"SC";"21";"m";"UK";"British";"United Kingdom";"English";"English";"English";"state-funded";"state-funded";"Highest level at secondary school: Advanced Higher";"Student";"O-Level";"Administrator";"HND";"Musician";"";"";"ND";"21";"ND";"1.0";"";"UNCLEAR";"";"";"";"";"Male";"State";"State";"English";"English";"English";"Secondary Education";"Secondary Education";"Professional/Vocational";"";"Secondary Education"
"4628";"SC16-207f34";"ND";"2016";"SC";"34";"f";"Scottish";"White Scottish";"Scotland/UK";"English";"English";"English";"state-funded";"state-funded";"Bachelor";"none";"O-Level";"Receptionist";"";"Civil engineer";"Bachelor";"Retail manager";"ND";"19";"ND";"0.56";"5-20 England";"Scotland";"England";"15";"0.44";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Secondary Education";"";"Higher Education";"Higher Education"
"4629";"SC16-208m61";"ND";"2016";"SC";"61";"m";"Scottish";"Roman Catholic";"Scotland";"mostly English, some Scots";"English";"English";"state-funded";"state-funded";"Vocational classes";"Tour guide";"Chef";"Mother";"Engineer";"Engineer";"Government";"Receptionist";"ND";"61";"ND";"1.0";"";"Scotland";"";"61";"1.0";"";"Male";"State";"State";"English, Scots";"English";"English";"Professional/Vocational";"Work-Based Learning";"Professional/Vocational";"No/Other Qualification";"Professional/Vocational"
"4630";"SC16-209m34";"ND";"2016";"SC";"34";"m";"Scottish";"White";"Scotland";"";"Scottish English";"Scottish English";"state-funded";"state-funded";"Vocational classes";"Steel erector";"";"Social worker";"";"";"";"";"ND";"34";"ND";"1.0";"";"Scotland";"";"34";"1.0";"";"Male";"State";"State";"";"English";"English";"Professional/Vocational";"";"";"";"Professional/Vocational"
"4631";"SC16-210m51";"ND";"2016";"SC";"51";"m";"British";"";"UK";"English";"English";"English";"state-funded";"state-funded";"Work training (construction related)";"Site manager";"";"Nurse";"";"Own company";"";"Admin";"ND";"1";"ND";"0.02";"0-44 England; 45-50 OmanEnglish?";"England";"";"44";"0.86";"";"Male";"State";"State";"English";"English";"English";"Work-Based Learning";"";"";"";"Work-Based Learning"
"4632";"SC16-211m20";"ND";"2016";"SC";"20";"m";"Scottish";"";"Scotland";"mostly English, some Scots";"English";"English";"state-funded";"private/fee-paying";"Highest level secondary school";"Student";"Bachelor";"Marketing";"Master's";"Government funding";"";"";"ND";"20";"ND";"1.0";"";"Scotland";"";"20";"1.0";"";"Male";"State";"Private";"English, Scots";"English";"English";"Secondary Education";"Higher Education";"Higher Education";"";"Secondary Education"
"4633";"SC16-212f20";"ND";"2016";"SC";"20";"f";"British";"White";"Scotland";"English";"English";"English";"state-funded";"state-funded";"Highest level secondary school (Advanced Higher), Other (MBChB Year 2)";"Student";"Postgraduate diploma";"Counsellor";"BA History";"Sales manager";"";"";"ND";"20";"ND";"1.0";"";"Scotland";"";"20";"1.0";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"4634";"SC16-213f21";"ND";"2016";"SC";"21";"f";"British";"White";"England";"English";"English";"English";"state-funded";"state-funded";"Highest level at secondary school: A-Level; MbChB";"Student";"Bachelor";"Teacher";"PhD";"Lecturer";"";"";"ND";"3";"ND";"0.14";"0-18 England";"England";"Scotland";"18";"0.86";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"4635";"SC16-214f19";"ND";"2016";"SC";"19";"f";"British & American";"Scottish-American";"Highlands of Scotland & North Carolina";"English";"American English";"English British";"state-funded";"state-funded";"Highest level at secondary school: 6th year/Advanced Higher";"Student";"University Degree English";"Primary Teacher";"GCSE";"Self-emplyed handyman";"";"";"ND";"19";"ND";"1.0";"";"Scotland";"";"19";"1.0";"";"Female";"State";"State";"English";"English";"English";"Secondary Education";"Higher Education";"Secondary Education";"";"Secondary Education"
"4636";"SC16-215m23";"ND";"2016";"SC";"23";"m";"Scottish";"White";"Scotland";"English";"English";"English";"state-funded";"state-funded";"Highest level at secondary school, Bachelor";"Student";"";"";"Degree";"Engineer";"Master's";"Lawyer";"ND";"23";"ND";"1.0";"";"Scotland";"";"23";"1.0";"";"Male";"State";"State";"English";"English";"English";"Higher Education";"";"Higher Education";"Higher Education";"Higher Education"
"4637";"SC16-216m18";"ND";"2016";"SC";"18";"m";"British";"White British";"Scotland";"English";"English";"English";"private/fee-paying";"private/fee-paying";"Vocational classes (Medicine)";"Student";"Bachelor";"Primary school teacher";"CA";"Audit manager (Accountant)";"";"";"ND";"1";"ND";"0.06";"0-3 Kuwait; 4-17 United Arab Emirates";"UAE";"Scotland";"14";"0.78";"";"Male";"Private";"Private";"English";"English";"English";"Professional/Vocational";"Higher Education";"Professional/Vocational";"";"Professional/Vocational"
"4638";"SC16-217m59";"ND";"2016";"SC";"59";"m";"British";"Scottish";"Scottish";"English";"Scottish";"Scottish";"state-funded";"state-funded";"Vocational classes, work training, highest level at secondary school";"Factory worker";"";"";"";"";"";"";"ND";"59";"ND";"1.0";"";"Scotland";"";"59";"1.0";"";"Male";"State";"State";"English";"English";"English";"Professional/Vocational";"";"";"";"Professional/Vocational"
"4639";"SC16-218m20";"ND";"2016";"SC";"20";"m";"Scottish";"White";"Scotland";"English";"English";"English";"state-funded";"state-funded";"";"Student";"Bachelor";"Risk banker";"Apprenticeship";"Generator sales";"";"";"ND";"20";"ND";"1.0";"";"Scotland";"";"20";"1.0";"";"Male";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Work-Based Learning";"";"Higher Education"
"4640";"SC16-219m21";"ND";"2016";"SC";"21";"m";"British";"Caucasian";"Scotland";"English";"English";"English";"state-funded";"state-funded";"Bachelor";"Student";"Bachelor";"Teacher";"Master's";"Pharmacist";"";"";"ND";"21";"ND";"1.0";"";"Scotland";"";"21";"1.0";"";"Male";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"4641";"SC16-220m22";"ND";"2016";"SC";"22";"m";"British";"White";"Scotland";"English, Scots";"English";"English";"state-funded";"state-funded";"Bachelor";"Student";"Bachelor";"Lecturer";"Bachelor";"Accountant";"";"";"ND";"22";"ND";"1.0";"";"Scotland";"";"22";"1.0";"";"Male";"State";"State";"English, Scots";"English";"English";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"4642";"SC16-221m19";"ND";"2016";"SC";"19";"m";"Scottish";"White";"Scotland";"English";"English";"English";"state-funded";"state-funded";"Bachelor";"";"";"";"";"";"";"";"ND";"19";"ND";"1.0";"";"Scotland";"";"19";"1.0";"";"Male";"State";"State";"English";"English";"English";"Higher Education";"";"";"";"Higher Education"
"4643";"SC16-222f30";"ND";"2016";"SC";"30";"f";"British";"Scottish";"Scotland";"English";"English";"English";"state-funded";"state-funded";"Standard grade";"Beauty therapist";"GSE";"";"GSE";"";"Higher";"";"ND";"30";"ND";"1.0";"";"Scotland";"";"30";"1.0";"";"Female";"State";"State";"English";"English";"English";"Secondary Education";"Secondary Education";"Secondary Education";"Secondary Education";"Secondary Education"
"4644";"SC16-223f57";"ND";"2016";"SC";"57";"f";"Scottish";"";"Scotland";"mostly English, some Scots";"English";"Scots";"state-funded";"state-funded";"Highest level at secondary school: Highers; RGN";"Staff nurse";"Registered fever nurse, registered general nurse, midwife";"Midwifery sister";"";"Steelworker";"Master's";"School teacher";"ND";"57";"ND";"1.0";"";"Scotland";"";"57";"1.0";"";"Female";"State";"State";"English, Scots";"Scots";"English";"Secondary Education";"Professional/Vocational";"";"Higher Education";"Secondary Education"
"4645";"SC16-224m35";"ND";"2016";"SC";"35";"m";"British";"White";"Scotland";"English";"English";"English";"state-funded";"state-funded";"Higher, HND";"Steel fixer";"";"";"";"";"";"";"ND";"35";"ND";"1.0";"";"Scotland";"";"35";"1.0";"";"Male";"State";"State";"English";"English";"English";"Professional/Vocational";"";"";"";"Professional/Vocational"
"4646";"SC16-225m45";"ND";"2016";"SC";"45";"m";"Scottish";"White";"Scotland";"mostly English, some Scots";"English";"English";"state-funded";"state-funded";"Highest level at secondary school";"Electrician";"";"";"";"";"";"";"ND";"44";"ND";"0.98";"23 Jersey";"Scotland";"";"44";"0.98";"";"Male";"State";"State";"English, Scots";"English";"English";"Secondary Education";"";"";"";"Secondary Education"
"4647";"SC16-226m21";"ND";"2016";"SC";"21";"m";"Scottish";"White";"Scotland";"mostly Scots, some English";"Scots, English";"Scots, English";"state-funded";"state-funded";"Work training (chef apprenticeship)";"Street musician";"GCSE's";"Cleaner";"Joiner apprenticeship";"Painter and decorator";"Diploma";"Beauty therapist";"ND";"21";"ND";"1.0";"";"Scotland";"";"21";"1.0";"";"Male";"State";"State";"Scots, English";"Scots, English";"Scots, English";"Work-Based Learning";"Secondary Education";"Work-Based Learning";"Higher Education";"Work-Based Learning"
"4648";"SC16-227f19";"ND";"2016";"SC";"19";"f";"Northern Irish";"White";"Northern Ireland";"English";"English";"English";"state-funded";"state-funded";"Highest level at secondary school: A-Levels";"Student";"Bachelor";"Midwife";"Diploma";"Shop owner";"";"";"ND";"1";"ND";"0.05";"0-18 Northern IrelandNorthern Irish";"Northern Ireland";"";"18";"0.95";"";"Female";"State";"State";"English";"English";"English";"Secondary Education";"Higher Education";"Higher Education";"";"Secondary Education"
"4649";"SC16-228m54";"ND";"2016";"SC";"54";"m";"Scottish";"White";"";"mostly Scots, some English";"Scottish";"Scottish";"state-funded";"state-funded";"Highest level at secondary school: four highers";"Retired";"Housewife";"Housewife";"Engineer";"Engineer";"";"";"ND";"54";"ND";"1.0";"";"Scotland";"";"54";"1.0";"";"Male";"State";"State";"Scots, English";"English";"English";"Secondary Education";"No/Other Qualification";"Professional/Vocational";"";"Secondary Education"
"4650";"SC16-229f21";"ND";"2016";"SC";"21";"f";"British";"White Mixed";"Scotland";"English";"English";"English";"state-funded";"state-funded";"Bachelor";"Student";"Master's";"Librarian";"Bachelor";"Librarian";"";"";"ND";"21";"ND";"1.0";"";"Scotland";"";"21";"1.0";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"4651";"SC16-230f16";"ND";"2016";"SC";"16";"f";"Scottish";"Caucasian";"Scotland";"mostly English, some Scots";"English";"";"private/fee-paying";"private/fee-paying";"Highest level at secondary school: Highers";"Student";"";"Artist";"";"";"";"";"ND";"16";"ND";"1.0";"";"Scotland";"";"16";"1.0";"";"Female";"Private";"Private";"English, Scots";"";"English";"Secondary Education";"";"";"";"Secondary Education"
"4652";"SC16-231f16";"ND";"2016";"SC";"16";"f";"Scottish";"Caucasian";"Scotland";"mostly English, some Scots";"English";"English";"private/fee-paying";"private/fee-paying";"Highest level at secondary school: Highers";"Education";"";"";"";"";"";"";"ND";"16";"ND";"1.0";"";"Scotland";"";"16";"1.0";"";"Female";"Private";"Private";"English, Scots";"English";"English";"Secondary Education";"";"";"";"Secondary Education"
"4653";"SC16-232m44";"ND";"2016";"SC";"44";"m";"Scottish";"";"Scotland";"Scots";"Scottish";"Scottish";"state-funded";"state-funded";"";"Unemployed";"";"Care assistant";"";"";"";"";"ND";"44";"ND";"1.0";"";"Scotland";"";"44";"1.0";"";"Male";"State";"State";"Scots";"English";"English";"No/Other Qualification";"";"";"";"No/Other Qualification"
"4654";"SC16-233f40";"ND";"2016";"SC";"40";"f";"Scottish";"";"Scotland";"English";"Scottish";"Scottish";"state-funded";"state-funded";"";"Housewife";"A-Level's";"Nurse";"A-Level's";"Carpenter";"";"House manager";"ND";"40";"ND";"1.0";"";"Scotland";"";"40";"1.0";"";"Female";"State";"State";"English";"English";"English";"No/Other Qualification";"Secondary Education";"Secondary Education";"";"No/Other Qualification"
"4655";"SC16-234f62";"ND";"2016";"SC";"62";"f";"Scottish";"";"Scotland";"English";"English";"English";"state-funded";"state-funded";"";"Retired";"";"Darner";"";"Storeman in factory";"";"";"ND";"62";"ND";"1.0";"";"Scotland";"";"62";"1.0";"";"Female";"State";"State";"English";"English";"English";"No/Other Qualification";"";"";"";"No/Other Qualification"
