Original_Qualification,Mapped_Category
associate degree,Higher Education
bachelor,Higher Education
bachelor of laws,Higher Education
bachelor's,Higher Education
banker,Work-Based Learning
beauty specialist,Work-Based Learning
boarding school,Secondary Education
business,No/Other Qualification
business school,Higher Education
cadette training,Work-Based Learning
chef,Work-Based Learning
clerk,Work-Based Learning
college,Higher Education
college (master's),Higher Education
college degree,Higher Education
college technical,Professional/Vocational
comprehensive school,Secondary Education
cooking,No/Other Qualification
craft school,Work-Based Learning
degree,Higher Education
degree in IT,Higher Education
degree in business & psychology,Higher Education
degree in computer,Higher Education
degree in hairdressing,Work-Based Learning
diploma,Secondary Education
discontinued,No/Other Qualification
doctor,Higher Education
doctor juris,Higher Education
doctorate,Higher Education
dropped HS,No/Other Qualification
dropped out of school,No/Other Qualification
economics degree,Higher Education
economy secondary school,Secondary Education
electrician,Work-Based Learning
electronic,No/Other Qualification
elementary school,Secondary Education
engineer,No/Other Qualification
engineering,No/Other Qualification
engineering student,Higher Education
extended Diploma and O'level,Secondary Education
faculty of Technology,Higher Education
finance director,No/Other Qualification
food and beverage manager,No/Other Qualification
gardener,Work-Based Learning
government,No/Other Qualification
graduated,Higher Education
graduated Uni,Higher Education
half secondary school,Secondary Education
head of division,No/Other Qualification
high,Secondary Education
high school,Secondary Education
High school diploma,Secondary Education
high school dipl,Secondary Education
high school diploma,Secondary Education
housewife,No/Other Qualification
igh School,Secondary Education
illiterate,No/Other Qualification
in high school,Secondary Education
in higher school,Secondary Education
institute,No/Other Qualification
junior high,Secondary Education
juris doctor,Higher Education
law,Higher Education
law degree,Higher Education
law school,Higher Education
learned from experienced aunt,No/Other Qualification
leaving certificate,Secondary Education
left school at 17,No/Other Qualification
level 6,Secondary Education
level 8,Secondary Education
licensed psychotherapist,Work-Based Learning
lower secondary school,Secondary Education
machinist,Work-Based Learning
manager,Work-Based Learning
maritime school,Secondary Education
mechanical engineer,No/Other Qualification
mechanical school,Work-Based Learning
med school,Higher Education
medical doctorate,Higher Education
medical student,Higher Education
merchant,No/Other Qualification
mid school,No/Other Qualification
mid-secondary school,Secondary Education
middle school,No/Other Qualification
military,Work-Based Learning
mittlere Reife,Secondary Education
musician/ teacher,Higher Education
my own way,No/Other Qualification
nil,No/Other Qualification
non-readable,No/Other Qualification
none,No/Other Qualification
none/other?,No/Other Qualification
nurse,Higher Education
nursing course,Higher Education
nursing school,Higher Education
o levels,Secondary Education
old O levels (GCSE),Secondary Education
ongoing diploma,Secondary Education
ongoing student for Bachelors,Higher Education
ordinary level,Secondary Education
other,No/Other Qualification
other (Associate degree in Hospitality and Tourism),Higher Education
other (BEC national and higher national),Professional/Vocational
other (Babysitting),No/Other Qualification
other (College),Higher Education
other (Day Release),No/Other Qualification
other (HNC Electric engineering),Professional/Vocational
other (Hairdressing),Work-Based Learning
other (Hawaii Police Department Explorer Academy),Work-Based Learning
other (Juris Doctor),Higher Education
other (Medical Billing and Coder Diploma),Professional/Vocational
other (Undergraduate degree),Higher Education
other (Undergraduate),Higher Education
other (babysitter),No/Other Qualification
other (nursing school),Professional/Vocational
other (post graduate),Higher Education
other Advanced Level Certificate,Professional/Vocational
other Dr. of Law,Higher Education
other: basic nail course/nail advanced course,Work-Based Learning
other: primary,No/Other Qualification
other: still studying,Higher Education
other: student,Higher Education
other:student,Higher Education
owns a shop,No/Other Qualification
partly university,Higher Education
pension,No/Other Qualification
police academy,Work-Based Learning
police man,Work-Based Learning
portworker,Work-Based Learning
post doc,Higher Education
post secondary school,Secondary Education
post-graduate,Higher Education
post-secondary,Secondary Education
postman,No/Other Qualification
primary,No/Other Qualification
primary level,No/Other Qualification
primary school,No/Other Qualification
primary school?,No/Other Qualification
private college: teacher's training,Professional/Vocational
professional barber,Professional/Vocational
professional picot,Professional/Vocational
professor,Higher Education
qualified nurse,Professional/Vocational
regional manager,Work-Based Learning
retired,No/Other Qualification
sales,No/Other Qualification
sales assistant,Work-Based Learning
sales man,Work-Based Learning
sargent major,Work-Based Learning
school certificate,Secondary Education
school for music,Professional/Vocational
"school until sixteen, evening courses at college",Professional/Vocational
school up to sixth form,Secondary Education
secindary school,Secondary Education
second school,No/Other Qualification
secondary,Secondary Education
secondary certificate,Secondary Education
secondary economics,Secondary Education
secondary education,Secondary Education
secondary exams,Secondary Education
secondary level,Secondary Education
secondary medical school,Professional/Vocational
secondary school,Secondary Education
secondary school (not finished),No/Other Qualification
secretarial school,Professional/Vocational
self employed,No/Other Qualification
sergeant army,Work-Based Learning
shipping,No/Other Qualification
shoemaker,Work-Based Learning
shopowner / airBNB,No/Other Qualification
short time university (Japan),Higher Education
sixth form,Secondary Education
skilled,No/Other Qualification
social worker,No/Other Qualification
some College,Higher Education
some college,Higher Education
"some college, no degree",Higher Education
some university,Higher Education
staatl. geprüfte Übersetzerin,Professional/Vocational
standard,Secondary Education
still in school,Secondary Education
student,Higher Education
student (11th class),Secondary Education
student and bartender,Secondary Education
teacher,Higher Education
tech/MBA,Higher Education
technical college,Professional/Vocational
technical institute,Professional/Vocational
technical school,Professional/Vocational
technical teaching qualification,Professional/Vocational
tertial,Higher Education
tertiary,Higher Education
tertiary education,Higher Education
tertiary level,Higher Education
third grade,No/Other Qualification
trade school,Professional/Vocational
trained in construction,Work-Based Learning
trained retail salesman,Work-Based Learning
trained retail saleswoman,Work-Based Learning
"tutor in beauty therapy, part time broadcasting",No/Other Qualification
uk professional body finance / stock exchange / economy classes; like university,Higher Education
undergraduate,Higher Education
unfinished university,Higher Education
uni,Higher Education
university,Higher Education
university diploma,Higher Education
university dropout,Higher Education
university social work,Higher Education
university*,Higher Education
university-veterinarian,Higher Education
unknown,No/Other Qualification
unspecified,No/Other Qualification
various,No/Other Qualification
vocational,Professional/Vocational
vocational class,Professional/Vocational
vocational classes,Professional/Vocational
"vocational classes, High School Diploma",Professional/Vocational
"vocational classes, apprenticeship",Professional/Vocational
vocational high school,Professional/Vocational
vocational school,Professional/Vocational
vocational training,Professional/Vocational
work,No/Other Qualification
work training,Work-Based Learning
worker,No/Other Qualification
year 10,Secondary Education
year tutor (teacher),Higher Education
