Original_Language,NER_Result,Normalized_Language
Maltese + English,,"Maltese, English"
Maltese + Italian,,"Maltese, Italian"
Maltese / English,,"Maltese, English"
Maltese / English / Italian,,"Maltese, English, Italian"
Maltese / some Italian,,"Maltese, Some Italian"
Maltese English,,Maltese English
Maltese and English,,"Maltese, English"
Maltese&Italian,,"Maltese, Italian"
"Maltese,
English",,"Maltese, English"
"Maltese, Arabic",,"Maltese, Arabic"
"Maltese, English",,"Maltese, English"
"Maltese, English, Italian",,"Maltese, English, Italian"
"Maltese, French",,"Maltese, French"
"Maltese, Gozitan",,"Maltese, Gozitan"
"Maltese, Italian",,"Maltese, Italian"
Maltese/ English,,"Maltese, English"
Maltese/English,,"Maltese, English"
Maltese/English/Italian,,"Maltese, English, Italian"
Maltese/Gozetan,,"Maltese, Gozetan"
Maltese/Italian,,"Maltese, Italian"
Maltese; Arabic,,"Maltese, Arabic"
Maltese; English,,"Maltese, English"
Maltese; English; Italian,,"Maltese, English, Italian"
Maltese; Englsih,,"Maltese, Englsih"
Maltese; Italian,,"Maltese, Italian"
Mandarin,,Mandarin
"Mandarin, Chinese",,"Mandarin, Chinese"
Mandarin/English,,"Mandarin, English"
Manipuri,,Manipuri
Marathi,,Marathi
Maroccan,,Maroccan
"Maroccan, Arabic, Spanish",,"Maroccan, Arabic, Spanish"
"Marrocan, Spanish",,"Marrocan, Spanish"
Maya,,Maya
Mexican/Caucasian,,"Mexican, Caucasian"
Mix,,Mix
Mongolian,,Mongolian
Montenegrin,,Montenegrin
Moroccan,,Moroccan
"Mostly
English, but
some
Maltese",,"Mostly English, But Some Maltese"
"Mostly
English, but
some
Maltese; + Italian",,"Mostly English, But Some Maltese, Italian"
Mostly English / some Maltese,,"Mostly English, Some Maltese"
Mostly English / some Maltese / French,,"Mostly English, Some Maltese, French"
Mostly English / some Maltese / Italian,,"Mostly English, Some Maltese, Italian"
Mostly English / some Maltese / Italian / German / French,,"Mostly English, Some Maltese, Italian, German, French"
"Mostly English, but some Maltese",,"Mostly English, But Some Maltese"
"Mostly English, but some Maltese; Serbo-Croat",,"Mostly English, But Some Maltese, Serbo-Croat"
"Mostly English, some Maltese",,"Mostly English, Some Maltese"
"Mostly English, some Maltese, some Italian",,"Mostly English, Some Maltese, Some Italian"
"Mostly Macedonian, some English",,"Mostly Macedonian, Some English"
Mostly Maltese / some English,,"Mostly Maltese, Some English"
Mostly Maltese / some English / Italian,,"Mostly Maltese, Some English, Italian"
Mostly Maltese / some English / Turkish,,"Mostly Maltese, Some English, Turkish"
"Mostly Maltese, but some English",,"Mostly Maltese, But Some English"
"Mostly Maltese, but some English; French",,"Mostly Maltese, But Some English, French"
"Mostly Maltese, but some English; Italian",,"Mostly Maltese, But Some English, Italian"
"Mostly Maltese, but some English; some Italian",,"Mostly Maltese, But Some English, Some Italian"
"Mostly Maltese, some English",,"Mostly Maltese, Some English"
Mostly Slovenian / some English,,"Mostly Slovenian, Some English"
"Mostly Spanish, some English",,"Mostly Spanish, Some English"
Nepali,,Nepali
Nigerian+English,,"Nigerian, English"
Norwegian,,Norwegian
Notul,,Notul
Odiya,,Odiya
Other,,Other
"Other (Scots, Gaelic, English)",,"Other (Scots, Gaelic, English)"
Other (Shetland dialect),,Other (Shetland Dialect)
"Other(Mostly English, but also Maltese and Dutch)",,"Other(Mostly English, But Also Maltese, Dutch)"
Pahadi-Hindi,,Pahadi-Hindi
Pahari,,Pahari
Patois,,Patois
Persian,,Persian
Persian (Farsi),,Persian (Farsi)
Philippino,,Philippino
"Phillipin, English, Slovene",,"Phillipin, English, Slovene"
Police,,Police
Polish,,Polish
"Polish, English",,"Polish, English"
"Polish, Swedish",,"Polish, Swedish"
Polish/German,,"Polish, German"
Poonchi,,Poonchi
Portugese,,Portugese
Portuguese,,Portuguese
"Portuguese, English since he's 6 years old",,"Portuguese, English Since He'S 6 Years Old"
"Portuguese, Spanish",,"Portuguese, Spanish"
Portuguese/German,,"Portuguese, German"
Prsian,,Prsian
Puerto Rican,,Puerto Rican
Punjabi,,Punjabi
Punjabi (Multani),,Punjabi (Multani)
"Punjabi, Hindi",,"Punjabi, Hindi"
"Punjabi,Hindi",,"Punjabi, Hindi"
Romanian,,Romanian
"Romanian, English",,"Romanian, English"
Russian,,Russian
"Russian, English",,"Russian, English"
"Russian, Ukrainian",,"Russian, Ukrainian"
"Russian, Ukranian",,"Russian, Ukranian"
"Russian, with friends E",,"Russian, With Friends E"
Russian/Tartarian,,"Russian, Tartarian"
Russian/Ukrainian,,"Russian, Ukrainian"
S,,
Sal,,Sal
Scotland,,Scotland
Scots,,Scots
Scots English,,Scots English
"Scots, English",,"Scots, English"
Scots/English,,"Scots, English"
Scottish,,Scottish
Scottish English,,Scottish English
Scottish/English,,"Scottish, English"
Serbia,,Serbia
Serbian,,Serbian
"Serbian, English, Maltese",,"Serbian, English, Maltese"
"Serbian, Slovenian",,"Serbian, Slovenian"
Serbo-Croat,,Serbo-Croat
Serbo-Croatian,,Serbo-Croatian
Serbocroatian,,Serbocroatian
Serquais,,Serquais
Shetland dialect,,Shetland Dialect
Shona,,Shona
Sicilian; Italian,,"Sicilian, Italian"
Slovack,,Slovack
Slovak,,Slovak
Slovene,,Slovene
Slovene Italian,,Slovene Italian
"Slovene, Croatian",,"Slovene, Croatian"
"Slovene, German",,"Slovene, German"
"Slovene, Serbo-Croatian",,"Slovene, Serbo-Croatian"
Slovenian,,Slovenian
"Slovenian, Bosnian",,"Slovenian, Bosnian"
"Slovenian, Croatian",,"Slovenian, Croatian"
"Slovenian, Croatian, Italian",,"Slovenian, Croatian, Italian"
"Slovenian, English",,"Slovenian, English"
"Slovenian, English, Serbo-Croatian",,"Slovenian, English, Serbo-Croatian"
"Slovenian, German",,"Slovenian, German"
"Slovenian, German, Croatian",,"Slovenian, German, Croatian"
"Slovenian, Hungarian",,"Slovenian, Hungarian"
"Slovenian, Italian",,"Slovenian, Italian"
"Slovenian, Italian, Croatian",,"Slovenian, Italian, Croatian"
"Slovenian, Macedonian",,"Slovenian, Macedonian"
"Slovenian, Serbian",,"Slovenian, Serbian"
"Slovenian, Serbo-Croatian",,"Slovenian, Serbo-Croatian"
"Slovenian, mostly English / some Slovenian",,"Slovenian, Mostly English, Some Slovenian"
"Slovenian, some Italian",,"Slovenian, Some Italian"
"Slovinian, Bosnian",,"Slovinian, Bosnian"
"Sorbian, German",,"Sorbian, German"
South Africa,,South Africa
South African-English; English-English,,"South African-English, English-English"
Spanih,,Spanih
Spanisch+English,,"Spanisch, English"
Spanish,,Spanish
Spanish Italien,,Spanish Italien
Spanish and English,,"Spanish, English"
Spanish+English,,"Spanish, English"
"Spanish,  English",,"Spanish, English"
"Spanish, Basque",,"Spanish, Basque"
"Spanish, Catalan",,"Spanish, Catalan"
"Spanish, Catalan (Majorcan, Alaró)",,"Spanish, Catalan (Majorcan, Alaró)"
"Spanish, Catalan (Mallorcan)",,"Spanish, Catalan (Mallorcan)"
"Spanish, Catalan (Mallorqui)",,"Spanish, Catalan (Mallorqui)"
"Spanish, Catalan (Mallorquin)",,"Spanish, Catalan (Mallorquin)"
"Spanish, Catalan (Mallorquin), English",,"Spanish, Catalan (Mallorquin), English"
"Spanish, Catalan, English",,"Spanish, Catalan, English"
"Spanish, Creole",,"Spanish, Creole"
"Spanish, English",,"Spanish, English"
"Spanish, French",,"Spanish, French"
"Spanish, French, Arabic",,"Spanish, French, Arabic"
"Spanish, Swedish",,"Spanish, Swedish"
"Spanish, Valencian",,"Spanish, Valencian"
"Spanish/
English",,"Spanish, English"
Spanish/English,,"Spanish, English"
Spansih,,Spansih
Swahili / English,,"Swahili, English"
Swedish,,Swedish
"Swedish, Arabic",,"Swedish, Arabic"
"Swedish, Bosnian",,"Swedish, Bosnian"
"Swedish, Bulgarian",,"Swedish, Bulgarian"
"Swedish, Czech",,"Swedish, Czech"
"Swedish, Dutch",,"Swedish, Dutch"
"Swedish, English",,"Swedish, English"
"Swedish, Finnish",,"Swedish, Finnish"
"Swedish, Flamish",,"Swedish, Flamish"
"Swedish, German",,"Swedish, German"
"Swedish, German, Spanish",,"Swedish, German, Spanish"
"Swedish, Italian",,"Swedish, Italian"
"Swedish, Persian",,"Swedish, Persian"
"Swedish, Spanish",,"Swedish, Spanish"
"Swedish, Thai",,"Swedish, Thai"
Swiss,,Swiss
Swiss German,,German
Swiss-German,,Swiss-German
Tagalog,,Tagalog
"Tagalog, French",,"Tagalog, French"
Tamil,,Tamil
Tartarian,,Tartarian
Thai,,Thai
Tigrinya,,Tigrinya
Tongan,,Tongan
Tongan/Samoan,,"Tongan, Samoan"
Trinidadian English,,Trinidadian English
Tunasine,,Tunasine
Turkish,,Turkish
Turkish/German (only with brother),,"Turkish, German (Only With Brother)"
Twi,,Twi
Ugandan,,Ugandan
Uighurish,,Uighurish
Uigurish,,Uigurish
Ukrainian,,Ukrainian
"Ukrainian, English",,"Ukrainian, English"
"Ukrainian, Russian",,"Ukrainian, Russian"
Ukranian,,Ukranian
Urdu,,Urdu
"Urdu, Punjabi, English",,"Urdu, Punjabi, English"
Urhobo,,Urhobo
Uzbek,,Uzbek
"Uzbek, Russian",,"Uzbek, Russian"
Vietnamese,,Vietnamese
Welsh,,Welsh
Welsh English,,Welsh English
"Welsh, English",,"Welsh, English"
Welsh/English,,"Welsh, English"
Yanito,,Yanito
"Yanito, English",,"Yanito, English"
"Yanito, English, Spanish",,"Yanito, English, Spanish"
"Yanito, some English",,"Yanito, Some English"
Yoruba,,Yoruba
"Yoruba, Nig. English",,"Yoruba, Nig. English"
Yugoslavian,,Yugoslavian
Zulu,,Zulu
both English + Maltese equally,,"Both English, Maltese Equally"
both English and Maltese,,"Both English, Maltese"
both English and Spanish,,"Both English, Spanish"
both spanish and english fluently,,"Both Spanish, English Fluently"
equally English and Scots,,"Equally English, Scots"
local language,,Local Language
"moslty Maltese, some English",,"Moslty Maltese, Some English"
"mostly  Spanish, some English",,"Mostly Spanish, Some English"
