Original_Language,NER_Result,Normalized_Language
"English, Slovenian","English, Slovenian","English, Slovenian"
"English, Slovenian, Croatian","English, Slovenian, Croatian","English, Slovenian, Croatian"
"English, Slovenian, German","English, Slovenian, German","English, Slovenian, German"
"English, Slovenian, Serbian","English, Slovenian, Serbian","English, Slovenian, Serbian"
"English, Spanish","English, Spanish","English, Spanish"
"English, Spanish for 15 years","English, Spanish","English, Spanish"
"English, Spanish, French, Arabic","English, Spanish, French, Arabic","English, Spanish, French, Arabic"
"English, Spanish, German","English, Spanish, German","English, Spanish, German"
"English, Spanish, sign language","English, Spanish","English, Spanish"
"English, Swedish","English, Swedish","English, Swedish"
"English, Swedish, Arabic","English, Swedish, Arabic","English, Swedish, Arabic"
"English, Swedish, Danish","English, Swedish, Danish","English, Swedish, Danish"
"English, Swedish, Greenlandic","English, Swedish, Greenlandic","English, Swedish, Greenlandic"
"English, Swedish, Polish","English, Swedish, Polish","English, Swedish, Polish"
"English, Swedish, Russian","English, Swedish, Russian","English, Swedish, Russian"
"English, Swedish, Spanish","English, Swedish, Spanish","English, Swedish, Spanish"
"English, Swedish, Spanish, German","English, Swedish, Spanish, German","English, Swedish, Spanish, German"
"English, Swedish, Thai","English, Swedish, Thai","English, Swedish, Thai"
"English, Tagalog","English, Tagalog","English, Tagalog"
"English, Turkish","English, Turkish","English, Turkish"
"English, Venetian","English, Venetian","English, Venetian"
"English, Vietnamese","English, Vietnamese","English, Vietnamese"
"English, Welsh","English, Welsh","English, Welsh"
"English, Welsh, Arabic","English, Welsh, Arabic","English, Welsh, Arabic"
"English, Yanito","English, Yanito","English, Yanito"
"English, Zulu","English, Zulu","English, Zulu"
"English, contact Guernésiais and Jèrriais","English, Guernésiais, Jèrriais","English, Guernésiais, Jèrriais"
"English, mostly English / some Spanish","English, English, Spanish","English, Spanish"
"English, mostly English, some Scots","English, English, Scots","English, Scots"
"English, mostly English, some Sots, Gaidhlig","English, English, Sots, Gaidhlig","English, Scots, Gaidhlig"
"English, other (Filipino / Ilocano)","English, Filipino, Ilocano","English, Filipino, Ilocano"
"English, other (Filipino)","English, Filipino","English, Filipino"
"English, other (French)","English, French","English, French"
"English, other (Serbian)","English, Serbian","English, Serbian"
"English, other (Vietnamese)","English, Vietnamese","English, Vietnamese"
"English, other: Chichewa",English,English
"English, some French","English, French","English, French"
"English, some Greek, but only till 6 years old","English, Greek","English, Greek"
"English, some Malaysian","English, Malaysian","English, Malaysian"
"English, some Welsh","English, Welsh","English, Welsh"
"English,Hindi","English,Hindi","English, Hindi"
"English,Hindi,Dakhni,Telugu,Bengali","English,Hindi,Dakhni,Telugu,Bengali","English, Hindi, Dakhni, Telugu, Bengali"
"English,Hindi,Dogri","English,Hindi,Dogri","English, Hindi, Dogri"
"English,Hindi,Haryanvi","English,Hindi,Haryanvi","English, Hindi, Haryanvi"
"English,Hindi,Himachali","English,Hindi,Himachali","English, Hindi, Himachali"
"English,Hindi,Kashmiri","English,Hindi,Kashmiri","English, Hindi, Kashmiri"
"English,Hindi,Multani","English,Hindi,Multani","English, Hindi, Multani"
"English,Hindi,Paharhi (Dialect)","English,Hindi,Paharhi, Dialect","English, Hindi, Paharhi"
"English,Hindi,Punjabi","English,Hindi,Punjabi","English, Hindi, Punjabi"
"English,Hindi,Punjabi,Poonchi,Urdu","English,Hindi,Punjabi,Poonchi,Urdu","English, Hindi, Punjabi, Poonchi, Urdu"
"English,Hindi,Punjabi,Urdu","English,Hindi,Punjabi,Urdu","English, Hindi, Punjabi, Urdu"
"English,Hindi,unspecified",NA,"English, Hindi"
"English,Manipuri","English,Manipuri","English, Manipuri"
"English,Scots","English,Scots","English, Scots"
"English,Spanish","English,Spanish","English, Spanish"
"English,Welsh","English,Welsh","English, Welsh"
"English,other (German)","English,other, German","English, German"
"English,other (Mongolian)","English,other, Mongolian","English, Mongolian"
"English,unspecified",NA,English
English/ Italian,"English, Italian","English, Italian"
English/Afrikaans,"English, Afrikaans","English, Afrikaans"
English/Arabic,"English, Arabic","English, Arabic"
English/French,"English, French","English, French"
English/German/Romanian/some Spanish,"English, German, Romanian, Spanish","English, German, Romanian, Spanish"
English/German/Swiss-German,"English, German, Swiss-German","English, German, Swiss-German"
English/Indian,"English, Indian","English, Indian"
English/Scots,"English, Scots","English, Scots"
English/Scottish,"English, Scottish","English, Scottish"
English/Spanish,"English, Spanish","English, Spanish"
English/Welsh,"English, Welsh","English, Welsh"
English/little Welsh,"English, Welsh","English, Welsh"
English; Czech,"English, Czech","English, Czech"
English; French; Vietnamese,"English, French, Vietnamese","English, French, Vietnamese"
English; German,"English, German","English, German"
English; Malta,"English, Malta","English, Maltese"
English; Maltese,"English, Maltese","English, Maltese"
English; Maltese; French,"English, Maltese, French","English, Maltese, French"
English; Maltese; Italian,"English, Maltese, Italian","English, Maltese, Italian"
English; Turkish,"English, Turkish","English, Turkish"
English; attended Irish medium primary school from age 4-11; was bilingual as a child,"English, Irish","English, Irish"
English; father spoke German 50 % of the time,"English, German","English, German"
"English; mostly English, some Hawaiian","English, English, Hawaiian","English, Hawaiian"
English; other,English,English
English; some Hungarian and Chinese,"English, Hungarian, Chinese","English, Hungarian, Chinese"
English?,English,English
"Englishi, Punjabi","Englishi, Punjabi","English, Punjabi"
Englsih (Edinburgh),"Englsih, Edinburgh",English
Enl,English,English
European,European,European
Farsi,Farsi,Farsi
"Farsi, Assyrian","Farsi, Assyrian","Farsi, Assyrian"
Filipino,Filipino,Filipino
Finnish,Finnish,Finnish
"Finnish, Swedish","Finnish, Swedish","Finnish, Swedish"
Flamish,Flamish,Flamish
French,French,French
French / German,"French, German","French, German"
"French, Congolese","French, Congolese","French, Congolese"
"French, English","French, English","French, English"
"French, Jèrriais","French, Jèrriais","French, Jèrriais"
"French, Spanish","French, Spanish","French, Spanish"
"French, Swiss-German","French, Swiss-German","French, Swiss-German"
French. Italian,"French, Italian","French, Italian"
French; Maltese,"French, Maltese","French, Maltese"
Ga,NA,NA
Gaelic,Gaelic,Gaelic
"Gaelic, English","Gaelic, English","Gaelic, English"
Gaidhlig,Gaelic,Gaelic
Geman,German,German
German,German,German
German (NRW),"German, NRW",German
German / Arabic,"German, Arabic","German, Arabic"
German / Bulgarian,"German, Bulgarian","German, Bulgarian"
German / French,"German, French","German, French"
German / Fränkisch,"German, Fränkisch","German, Franconian"
German / Italian,"German, Italian","German, Italian"
German / Polish,"German, Polish","German, Polish"
German / Romanian,"German, Romanian","German, Romanian"
German / Russian,"German, Russian","German, Russian"
German / Spanish,"German, Spanish","German, Spanish"
German / Turkish,"German, Turkish","German, Turkish"
German / Vietnamese / some English,"German, Vietnamese, English","German, Vietnamese, English"
German / Yugoslavian,"German, Yugoslavian","German, Yugoslavian"
German / some Russian,"German, Russian","German, Russian"
German+Russian,"German, Russian","German, Russian"
"German, Arabic/Algerian Accent (Darija)","German, Arabic, Algerian Accent, Darija","German, Arabic, Darija"
"German, English","German, English","German, English"
"German, French, Danish, English","German, French, Danish, English","German, French, Danish, English"
"German, Japanese","German, Japanese","German, Japanese"
"German, Russian","German, Russian","German, Russian"
"German, Spanish","German, Spanish","German, Spanish"
"German, other (Italian)","German, Italian","German, Italian"
"German, other (Kurdish)","German, Kurdish","German, Kurdish"
"German, other (Russian)","German, Russian","German, Russian"
"German, other (Sorbian)","German, Sorbian","German, Sorbian"
"German,Slovenian","German,Slovenian","German, Slovenian"
German/Bayrisch,"German, Bayrisch","German, Bayrisch"
German/Dutch,"German, Dutch","German, Dutch"
German/English,"German, English","German, English"
German/Persian,"German, Persian","German, Persian"
German/Polish,"German, Polish","German, Polish"
German/Russian,"German, Russian","German, Russian"
German/Spanish,"German, Spanish","German, Spanish"
German/Turkish,"German, Turkish","German, Turkish"
German; English,"German, English","German, English"
German; Maltese,"German, Maltese","German, Maltese"
Gibraltarian,Gibraltarian,Gibraltarian
Gibraltarian (Yanito),"Gibraltarian, Yanito","Gibraltarian, Yanito"
Gibraltarian English,Gibraltarian English,English
"Gibraltarian, English","Gibraltarian, English","Gibraltarian, English"
Glaswegian,Glaswegian,English
Gozotan,Gozotan,Gozotan
Greek,Greek,Greek
Greek; Maltese,"Greek, Maltese","Greek, Maltese"
Greenlandic language,Greenlandic,Greenlandic
Guernsey French,Guernsey French,Guernsey French
"Gujarati,Hindi,English","Gujarati,Hindi,English","Gujarati, Hindi, English"
Gujurati,Gujurati,Gujurati
Hamirpuri,Hamirpuri,Hamirpuri
Haryanvi,Haryanvi,Haryanvi
"Haryanvi,Hindi","Haryanvi,Hindi","Haryanvi, Hindi"
Hawaiian,Hawaiian,Hawaiian
Hebrew,Hebrew,Hebrew
Hidni,Hidni,Hidni
Himachali,Himachali,Himachali
Hindi,Hindi,Hindi
"Hindi
English",Hindi English,English
Hindi (Khari Boli),"Hindi, Khari Boli","Hindi, Khari Boli"
"Hindi, English","Hindi, English","Hindi, English"
"Hindi, Himalchali","Hindi, Himalchali","Hindi, Himalchali"
"Hindi, Punjabi","Hindi, Punjabi","Hindi, Punjabi"
"Hindi, unspecified",Hindi,Hindi
"Hindi,Assamese","Hindi,Assamese","Hindi, Assamese"
"Hindi,Bhojpuri","Hindi,Bhojpuri","Hindi, Bhojpuri"
