InformantID,Occupation,Mapped_Category
JE09-007NA15,Student,Secondary Education
JE09-009NA16,Student,Secondary Education
JE09-011f15,Student,Secondary Education
JE09-030f13,student,Secondary Education
JE09-039m13,Student,Secondary Education
JE09-040m14,Student,Secondary Education
JE09-041f15,Student,Secondary Education
JE09-043m14,Student,Secondary Education
JE09-044m14,Student,Secondary Education
JE09-045f15,Student,Secondary Education
JE09-074f15,Student,Secondary Education
JE09-095m17,Student,Secondary Education
JE09-110m8,Student,Secondary Education
JE09-137f14,Student,Secondary Education
JE09-141f15,Student,Secondary Education
JE09-152f15,Student,Secondary Education
JE09-153f15,Student,Secondary Education
JE09-154m16,Student,Secondary Education
JE09-175f16,Student,Secondary Education
JE09-196m16,Student,Secondary Education
JE09-210m17,Student,Secondary Education
JE09-211m16,Student,Secondary Education
JE09-268f16,Student,Secondary Education
JE09-276NA15,Student,Secondary Education
JE09-280f15,Student,Secondary Education
JE09-282m15,Student,Secondary Education
JE09-296m15,Student,Secondary Education
JE09-297NA15,Student,Secondary Education
JE09-298f16,Student,Secondary Education
JE09-299m15,Student,Secondary Education
JE09-306m17,Student,Secondary Education
JE09-307f14,Student,Secondary Education
JE09-309f13,Student,Secondary Education
JE09-325f13,Student,Secondary Education
JE09-326f14,Student,Secondary Education
JE09-327f13,Student,Secondary Education
JE09-328f14,Student,Secondary Education
MT08-089f18,Student,Higher Education
MT08-167f20,Student,Higher Education
MT08-222f18,Student,Higher Education
MT09-005f16,Student,Secondary Education
MT09-010m16,Student,Secondary Education
MT09-011f16,Student,Secondary Education
MT09-027f16,Student,Secondary Education
MT09-028m16,Student,Secondary Education
MT09-033f17,Student,Secondary Education
MT09-034f17,Student,Secondary Education
MT09-035f17,Student,Secondary Education
MT09-036f17,Student,Secondary Education
MT09-038m17,Student,Secondary Education
MT09-039m17,Student,Secondary Education
MT09-040m17,Student,Secondary Education
MT09-041f18,Student,Higher Education
MT09-042f17,Student,Secondary Education
MT09-043f17,Student,Secondary Education
MT09-044f17,Student,Secondary Education
MT09-045f17,Student,Secondary Education
