Original_Qualification,Mapped_Category
"Diploma in
Public
Administration",Secondary Education
Diploma in Banking,Secondary Education
Diploma in Child Education,Secondary Education
Diploma in Design Foundation,Secondary Education
Diploma in Engineering,Secondary Education
Diploma in IT,Secondary Education
Diploma in Management Studies,Secondary Education
Diploma in legal services/certificate in financial services,Professional/Vocational
Diploma in mathematics,Secondary Education
Diploma in secretarial studies,Secondary Education
Diploma of Education,Secondary Education
"Diploma, French Lycée Secretarial School, London",Secondary Education
"Diploma, Master's",Higher Education
Diploma/Bachelor?,Higher Education
Diplomas,Secondary Education
Diplome,No/Other Qualification
Diplomingenieur,No/Other Qualification
Diplomkaufmann,No/Other Qualification
Diplomverwaltungsfachwirt,No/Other Qualification
Diplomverwaltungsfachwirtin,No/Other Qualification
Director,No/Other Qualification
Doc (ongoing),No/Other Qualification
Doctor,No/Other Qualification
Doctor (medical),No/Other Qualification
Doctor Degree,Higher Education
Doctor of Laws,No/Other Qualification
Doctor of Medicin and Surgery,No/Other Qualification
Doctor of Medicine,Higher Education
Doctor of Medicine and Surgery,Higher Education
Doctor of laws,No/Other Qualification
Doctor title,No/Other Qualification
Doctor/Staatsexamen,No/Other Qualification
Doctoral,Higher Education
Doctoral (medicine),Higher Education
Doctoral degree,Higher Education
Doctorant,No/Other Qualification
Doctorat,No/Other Qualification
Doctorate,Higher Education
Doctorate in education,Higher Education
Doctorated,Higher Education
Doctors Degree,Higher Education
Doktor,No/Other Qualification
Dot.,No/Other Qualification
Dpil. Kauffrau,No/Other Qualification
Dr.,No/Other Qualification
Dr. Ing.,No/Other Qualification
Dr. in Geology,No/Other Qualification
Dr. med.,No/Other Qualification
Dr. phil.,No/Other Qualification
Dr.'s Degree,Higher Education
Driver Training,Work-Based Learning
Dropped out of school at fourteen,No/Other Qualification
ESO,No/Other Qualification
Early Years Course,No/Other Qualification
Economy,No/Other Qualification
Edinburgh School certificate,Professional/Vocational
Educator(Kindergarden),No/Other Qualification
"Educator, missionary in Romania",No/Other Qualification
Eighth grade,Secondary Education
Einzelhandelskaufmann,No/Other Qualification
Electrical Contractor Certificate,Professional/Vocational
Electrical Engineer,No/Other Qualification
Electrician,No/Other Qualification
Electrician Degree,Higher Education
Electrition,No/Other Qualification
Elementary,No/Other Qualification
Elementary School,No/Other Qualification
Elementary school,No/Other Qualification
Engineer,No/Other Qualification
Engineering,No/Other Qualification
Engineering Course,No/Other Qualification
Engineering Degree,Higher Education
Engineering apprentice,Work-Based Learning
Engineering degree,Higher Education
English Teacher,No/Other Qualification
English degree,Higher Education
Entrepreneur,No/Other Qualification
Environment Engineer,No/Other Qualification
Environmental Health,No/Other Qualification
Erstes Staatsexamen,No/Other Qualification
Estate Agent,No/Other Qualification
FP,No/Other Qualification
FRICS,No/Other Qualification
Fach-Abi,No/Other Qualification
Fach-Abi & Bachelor,Higher Education
Fach-Abitur,Secondary Education
Fachabitur,Secondary Education
Facharbeiter,No/Other Qualification
Faculty of Arts,No/Other Qualification
Farmer,No/Other Qualification
Farmer and Postman,No/Other Qualification
Feinwerkmechaniker,No/Other Qualification
Fellows of the Cartered Insurance of London,No/Other Qualification
Fifth form,Secondary Education
Final Degree Teaching Post,Higher Education
Financial Planner Certificate,Professional/Vocational
"Financial planning certificate, mortgage advice qualification",Professional/Vocational
Finans Okonom,No/Other Qualification
Fine Arts,No/Other Qualification
Finished school,No/Other Qualification
Fire inspector,No/Other Qualification
First Aid,No/Other Qualification
First year college,Professional/Vocational
Five GCSEs,Secondary Education
Folkeskole,No/Other Qualification
Folkskola,No/Other Qualification
Form 3,Secondary Education
Free lance Arts singing teacher,No/Other Qualification
GCB,No/Other Qualification
GCE,Secondary Education
"GCE's, A-levels",Secondary Education
GCES,Secondary Education
GCEs,Secondary Education
GCSCEs,No/Other Qualification
GCSE,Secondary Education
GCSE (Maths),Secondary Education
"GCSE , A/S-Levels",Secondary Education
GCSE's,Secondary Education
"GCSE's, A-Levels",Secondary Education
"GCSE's, NVQ",Professional/Vocational
"GCSE, A-Levels",Secondary Education
"GCSE, A/S-Levels",Secondary Education
"GCSE, AS-Levels",Secondary Education
"GCSE, AS/ A-Levels",Secondary Education
"GCSE, As-Levels",Secondary Education
"GCSE, As/A-Levels",Secondary Education
"GCSE, Btech Diploma (Leisure Studies)",Professional/Vocational
"GCSE, NVQ (level 2)",Professional/Vocational
"GCSE, NVQ Level 4",Professional/Vocational
"GCSE, NVQ Level 5",Professional/Vocational
"GCSE, NVQ, BTEC, BA",Professional/Vocational
"GCSE, two diplomas",Secondary Education
"GCSES, A-levels, currently an undergraduate",Higher Education
GCSEs,Secondary Education
GCSEs and vocational classes,Professional/Vocational
"GCSEs, A-Levels, Diploma",Secondary Education
"GCSEs, O-Levels",Secondary Education
"GCSEs, diploma, work training",Work-Based Learning
GED,No/Other Qualification
GEPS,No/Other Qualification
GNVQ,Professional/Vocational
GNVQ Media,Professional/Vocational
GOE,No/Other Qualification
GS 14,No/Other Qualification
GSCE,No/Other Qualification
GSCEs,No/Other Qualification
GSE,No/Other Qualification
Gemmologist and professional jeweller,Professional/Vocational
General Certificate of Education,Professional/Vocational
General Certificate of Secondary Education,Professional/Vocational
General certificate of secondary education,Professional/Vocational
General education,No/Other Qualification
Geography degree,Higher Education
Geologcal Chief,No/Other Qualification
Gimnazija Piran,No/Other Qualification
Government,No/Other Qualification
Grade 10,Secondary Education
Grade 11,Secondary Education
Grade 12,Secondary Education
Grade 8,Secondary Education
"Grade 8, Piano",Secondary Education
Grade School,Secondary Education
Grade school,Secondary Education
"Grado 
asociado",No/Other Qualification
Grado Asociado,No/Other Qualification
Graduate,No/Other Qualification
Graduate school,No/Other Qualification
Graduation,No/Other Qualification
Graduation (Engineer),No/Other Qualification
Graduation (ME),No/Other Qualification
Graduation Secondary School,Secondary Education
Grammar entry,No/Other Qualification
Grammar school degree,Higher Education
Grammer School,No/Other Qualification
Grapes/vines,No/Other Qualification
Gymnasium,No/Other Qualification
"Gymnasium
University
Degree",Higher Education
Gymnasium in Sweden,No/Other Qualification
HGV class,No/Other Qualification
HNC,Professional/Vocational
HNC Diploma,Professional/Vocational
HNC in Business Studies,Professional/Vocational
HNCN Business Studies,Professional/Vocational
HND,Professional/Vocational
HND (Business Studies),Professional/Vocational
HND *2,Professional/Vocational
HND Catering,Professional/Vocational
HND in Computer Studies,Professional/Vocational
"HND, College",Professional/Vocational
HS Diploma,Secondary Education
HSC,Secondary Education
Handelsskole,No/Other Qualification
Hauptschulabschluss,Higher Education
Hauptschule,No/Other Qualification
Higehst level at secondary school: four highers,Secondary Education
High School,Secondary Education
"High School 
Diploma",Secondary Education
High School (Year 10),Secondary Education
High School / USMC,Secondary Education
High School / USN,Secondary Education
